Price,Close,High,Low,Open,Volume
Ticker,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
Date,,,,,
2000-01-03,32.5493049621582,32.62439164316486,31.145218703880385,31.145218703880385,3528277
2000-01-04,31.265363693237305,32.8871981900475,30.93498878155592,32.58685736124624,3544397
2000-01-05,32.02371597290039,32.706987492191075,29.13294426445477,29.13294426445477,5849540
2000-01-06,33.352718353271484,34.52404137415358,32.28651011754747,32.28651011754747,10274966
2000-01-07,36.02573776245117,36.02573776245117,33.50288437339964,33.63803920863866,11477451
2000-01-10,38.87146759033203,38.90901094277262,37.24212376032672,38.893992406053016,8978430
2000-01-11,35.762939453125,39.044150929013426,35.762939453125,39.044150929013426,6303356
2000-01-12,36.078304290771484,36.94178340216234,34.38889539659925,36.04076393023665,4897855
2000-01-13,35.357486724853516,36.79161030079929,34.779332929837814,36.49126950233997,2952315
2000-01-14,35.89809799194336,36.49126729634434,34.98956937354541,35.282400887001295,5347397
2000-01-17,37.64006805419922,38.758835293252055,36.483763446486975,36.483763446486975,7738816
2000-01-18,37.24211120605469,37.917876375393476,36.79911235189554,37.69262231539968,4134762
2000-01-19,37.61754608154297,38.72880413714617,36.43120431487826,37.69263278196273,6371852
2000-01-20,35.3950309753418,37.54246026573701,35.07967462359007,37.54246026573701,2911586
2000-01-21,34.86943817138672,35.10971083083995,33.863300893963704,34.55408180053348,3633756
2000-01-24,32.08378982543945,35.42507060706058,32.08378982543945,34.539066584835474,5871546
2000-01-25,29.523393630981445,30.769803618811142,29.523393630981445,30.0865289628982,3684802
2000-01-26,29.523393630981445,29.523393630981445,29.523393630981445,29.523393630981445,0
2000-01-27,27.16571807861328,28.98277515708957,27.16571807861328,28.53226402588809,9020093
2000-01-28,26.309755325317383,27.33091105185033,25.28109033147515,25.679042637213332,13942903
2000-01-31,26.985519409179688,28.33704696398657,25.536380351834485,25.701566289030538,14875954
2000-02-01,26.324769973754883,27.766399780124917,25.844227701417502,27.015550798083943,6294485
2000-02-02,27.045581817626953,28.06673739386155,26.782787394061224,27.631244794390735,4676810
2000-02-03,26.63262367248535,27.293370508343035,26.542521423592262,27.03057302974443,2037576
2000-02-04,26.872896194458008,27.0230666251928,25.949351782137324,26.880405463334405,4201025
2000-02-07,26.7001953125,27.40599469334495,26.33228007685176,26.745247926893292,2468149
2000-02-08,27.120676040649414,27.766404358488842,26.504978817259826,26.880403370183547,3504831
2000-02-09,27.578689575195312,28.832608655554548,27.330910661747495,27.931589261398724,4440835
2000-02-10,27.195755004882812,27.766399508199548,27.03056906747173,27.766399508199548,1445348
2000-02-11,25.491329193115234,27.751385510104782,25.085870604614506,27.616233643723888,4107804
2000-02-14,23.696800231933594,25.528873194501646,23.456529078575368,25.528873194501646,3657229
2000-02-15,24.89815902709961,25.37870282924816,23.426495034281302,23.734343617721958,5135881
2000-02-16,24.755496978759766,25.799176025536557,24.650377698945764,25.799176025536557,1652627
2000-02-17,24.980749130249023,25.829209529615603,24.567781335321495,24.778018371251314,1841955
2000-02-18,23.156185150146484,25.078359972802303,22.983489966112703,24.928188103016446,2747217
2000-02-21,25.010786056518555,25.010786056518555,22.525474221450178,22.525474221450178,3511793
2000-02-22,27.015554428100586,27.015554428100586,25.57392442802211,26.114537920070266,3318248
2000-02-23,25.236038208007812,29.13294399240996,24.96573301053429,28.517249899877218,6547748
2000-02-24,25.56641387939453,26.264700958623347,24.92068269975055,25.664022390471494,2448914
2000-02-25,27.466068267822266,27.61623869647559,25.010791474755777,26.19713337707918,4658556
2000-02-28,27.188249588012695,27.631248524127113,26.144569061644887,27.631248524127113,3399023
2000-02-29,25.018295288085938,27.541147627302273,25.018295288085938,27.03808050765476,4357555
